id,username,time_ago,content,hashtags,answer,explanation,difficulty
12,night_shift_info,3時間前,"🌙深夜限定バイト✨
時給は高めだけど
内容は来てからのお楽しみ🙊",#深夜バイト #高収入,×,内容を明かさず高収入を謳うのは、闇バイトの典型。,easy
13,safe_job_life,2日前,"🍳飲食店の調理補助！
未経験OKで安心✨
面接はしっかりあるよ📞",#飲食バイト #未経験OK,〇,面接あり・仕事内容明確で信頼できるバイト。,easy
14,money_urgent_news,20分前,"今月お金足りない子集合💸
スマホだけで誰でもOK📱
まずはDMちょうだい💬",#即金 #副業,×,“誰でもOK” “スマホだけ” “DM誘導”は危険な特徴。,easy
15,hospitality_staff,4時間前,"🌸ホテルの受付スタッフ募集！
研修しっかりで制服あり👗
電話で聞いてみて〜📞",#ホテル求人 #安心バイト,〇,条件・応募方法ともに一般的で安心な求人。,easy
16,quick_cash_life,10分前,"📢実働2時間で3万円✨
顔出しナシでOK😷
詳細はLINEでだけ教えてるよ📱",#即金 #副業,×,短時間高収入・LINE限定情報・顔出しナシ＝危険な兆候。,easy
17,cafe_staff_love,1日前,"カフェでバイトしてみたい子☕
制服かわいいし✨
友達と一緒もOKだって💓",#カフェバイト #制服あり,〇,安心な店舗系募集。特に怪しい要素はない。,easy
18,fastjob_cashup,45分前,"🚨未経験でも即採用
LINEで全部完結📲
日払いだからすぐ稼げるよ💸",#副業 #即金,×,即採用・LINE完結・即金の三点セットは要警戒。,easy
19,supermarket_staff_hiring,3時間前,"🍅スーパーのレジスタッフ募集！
履歴書必要だけど簡単でOK📄
応募は電話か店頭で📞",#バイト募集 #レジ,〇,通常の店舗アルバイト。安心できる内容。,easy
20,cash_job_japan,1時間前,"🎯日給5万の簡単作業
名前も住所も不要🙅‍♂️
気になる人はDMで！",#副業 #高収入,×,身元情報不要・高額報酬・DM誘導は典型的な闇バイトの特徴。,easy
21,quick_rich_jobs,30分前,"💸1日で4万円！？  
誰でもできるってほんと？  
気になる子はLINEして📲",#即金 #副業,×,誰でもOK・高額報酬・LINE誘導は典型的な闇バイトの特徴。,easy
22,local_cafe_info,1日前,"☕カフェバイト募集！  
週2日〜でシフト自由✨  
応募は電話or店頭で📞",#バイト募集 #カフェ,〇,安心できる飲食バイト。応募方法も明確。,easy
23,easy_sidejob_now,1時間前,"📱スマホだけで日給3万⁉️  
面接も履歴書もいらないよ〜  
とりあえずLINEして！",#副業 #即金,×,履歴書・面接不要で高額は要警戒。LINE誘導も危険。,easy
24,supermarket_offer,3時間前,"🛒スーパーでの品出しバイト！  
高校生もOK✨  
応募は電話で📞",#バイト募集 #学生歓迎,〇,一般的なバイト。怪しい点はなし。,easy
25,fast_cash_link,15分前,"🔗このURL飛んで！  
詳細書いてないけど大丈夫👌  
日払いで稼げるって💸",#副業 #即金,×,詳細不明のリンク誘導は高リスク。注意。,easy
26,hotel_work_japan,2日前,"🏨ホテルの客室清掃スタッフ！  
制服貸与＆交通費支給✨  
電話で応募できるよ📞",#ホテル求人 #安心バイト,〇,一般的で安心なホテル求人。怪しい点なし。,easy
27,urgent_job_dm,10分前,"🆘急募！今日だけでOK！  
仕事内容はDMで📩  
顔出し不要🙅‍♀️",#即金バイト #当日可,×,仕事内容非公開・顔出し不要・DMのみは危険。,easy
28,dining_staff_town,4時間前,"🍽️居酒屋のホール募集！  
週末だけでもOK〜！  
店頭で気軽に聞いてみて📍",#バイト募集 #飲食,〇,飲食店系の一般的な求人で安心。,easy
29,super_cash_now,25分前,"💥3時間で2.8万円！？  
誰にもバレないって最高じゃない？  
LINEから応募してね📱",#副業 #高収入,×,非現実的な報酬＋LINE応募＝闇バイトの特徴。,easy
30,local_store_life,1日前,"🛍️雑貨屋スタッフ募集中！  
時給は1000円くらいかな〜  
面接あるけどゆるめです🫶",#バイト募集 #ショップ店員,〇,一般的な店舗系求人。安心。,easy
31,private_job_now,1時間前,"📦荷物運ぶだけ！  
身分証もいらないよ😎  
報酬は現金手渡し💴",#副業 #即金,×,身分証不要・現金手渡しは典型的な闇バイト要素。,easy
32,staff_deli_shop,3日前,"🥗デリバリースタッフ募集！  
時給1200円🚲  
応募は公式サイトで📱",#デリバリー #求人,〇,公式サイトからの応募で信頼できる求人。,easy
33,fast_rich_now,50分前,"📲スマホで副業！  
たった1分で登録完了💡  
今すぐLINEへ💬",#即金 #副業,×,“1分登録”＋LINE誘導＝詐欺の手口に多い構成。,easy
34,ramen_recruit_staff,2日前,"🍜ラーメン屋バイト！  
週3からOK✨  
電話で応募してね📞",#バイト募集 #飲食店,〇,通常の店舗求人。安心して応募できる内容。,easy
35,anonymous_work_life,10分前,"🙅‍♂️名前も顔も出さずに稼げる  
単発で日払い💴  
気になる人はDMして！📩",#匿名副業 #即金,×,匿名性＋高報酬＋DMは高リスク要素。,easy
36,fashion_shop_staff,3日前,"👚アパレルスタッフ募集中！  
時給1100円〜  
面接あり・交通費支給◎",#アパレル #バイト,〇,一般的なアパレル求人で安全。,easy
37,dark_job_alert,5分前,"💰内容は絶対に言えません  
けど簡単！  
とにかく稼げます🔥",#高収入 #秘密バイト,×,仕事内容非公開・高収入の組合せは非常に危険。,easy
38,local_diner_hiring,4時間前,"🍳定食屋スタッフ募集中！  
まかないあり〜♪  
店頭で聞いてみて📞",#バイト募集 #飲食,〇,飲食系店舗の安心バイト。特に問題なし。,easy
39,speed_job_dm,30分前,"💨即日スタート可能！  
履歴書いらないし、すぐ稼げる！  
詳しくはDMしてね📩",#即金 #バイト,×,即日・履歴書不要・DM誘導は高リスクパターン。,easy
40,beauty_salon_baito,1日前,"💅サロン受付スタッフ募集中！  
未経験歓迎✨  
電話で応募受付中📞",#サロン求人 #安心バイト,〇,美容系求人で、応募方法も明確。安心。,easy
41,secret_cash_offer,10分前,"📵絶対に周りに言わないで  
高額案件あります💰  
LINEだけでやりとりします📱",#秘密副業 #高収入,×,秘密・高額・LINEのみの組合せは要注意。,easy
42,staff_burger_shop,2日前,"🍔バーガーショップスタッフ募集！  
週2〜OKでまかないあり♪  
履歴書持参で面接してね📄",#ファストフード #バイト,〇,明快な応募方法・条件で問題ない求人。,easy
43,link_job_quick,25分前,"📲詳細はこのリンクから！  
誰でもできる副業だよ〜  
すぐ現金もらえる💸",#副業 #簡単バイト,×,詳細不明のリンク・即金は詐欺に多い構成。,easy
44,cafe_time_job,1日前,"☕おしゃれカフェでバイトしない？  
週末メインでOK💡  
電話で問い合わせてね📞",#カフェバイト #学生歓迎,〇,一般的で安心できる飲食系バイト。,easy
45,night_cash_now,15分前,"🌃夜だけで月20万も夢じゃない！？  
面接なしで即勤務  
とりあえずLINEして📲",#副業 #夜バイト,×,面接なし・高額・LINE誘導＝要警戒。,easy
46,local_flower_shop,3日前,"🌸花屋さんでのバイト🌸  
癒されながら働ける〜💐  
履歴書持参で店頭へ📍",#バイト募集 #花屋,〇,ローカルな店舗系バイトで安心。,easy
47,now_cashwork_link,10分前,"📩仕事内容は秘密  
でもほんとに稼げる！  
LINE追加してから話すね📱",#即金 #秘密副業,×,内容不明・LINE追加前提は非常に危険。,easy
48,ramen_staff_info,2日前,"🍥ラーメン屋の夜バイト募集中！  
学生歓迎✨  
店頭で直接聞いてみて〜📞",#バイト募集 #飲食,〇,店舗系・応募方法明確で信頼できる求人。,easy
49,easy_rich_now,5分前,"💎誰でもできる！  
即日で口座に振り込みます  
DMして！📩",#副業 #即金,×,即日振込・“誰でもOK”・DM誘導＝典型的な闇バイト。,easy
50,cafe_hiring_today,1日前,"☕人気カフェでバイト募集！  
未経験もOK◎  
面接あり・制服もかわいいよ✨",#カフェ求人 #学生歓迎,〇,明確な応募方法と条件で安心な内容。,easy
51,local_cafe_evening,30分前,"☕夜だけカフェバイト募集中✨  
週1〜OKで友達と応募も◎  
応募は店頭か電話で📞",#カフェバイト #夜勤,〇,応募方法が明確で面接あり、報酬も普通のバイト。怪しい点なし。,hard
52,delivery_shop_night,1時間前,"📦夜だけ配達スタッフ募集💨  
面接あり・交通費支給✨  
電話で応募してね📞",#配送バイト #夜勤,〇,夜間バイトでも公式ルートで安心。報酬は普通レベル。,hard
53,supermarket_evening,45分前,"🛒スーパーの閉店後品出しバイト！  
履歴書持参で店頭応募📄  
学生歓迎🎓",#スーパー #夜勤,〇,応募方法明確・面接あり・報酬普通。安全な募集です。,hard
54,quick_cash_offer,10分前,"💸1日で3万！？  
LINEで詳細送るね📲  
今すぐ登録！",#副業 #即金,×,高額報酬・LINE誘導・仕事内容不明＝闇バイト要素。注意。,hard
55,fastjob_delivery,2時間前,"📦短期配送スタッフ急募！  
面接あり・交通費支給✨  
応募は電話で📞",#配送バイト #短期,〇,面接あり・報酬普通・公式応募ルート。安心できる求人。,hard
56,secret_cash_today,5分前,"💰今日だけで4万！  
匿名でOK🙈  
LINEで案内📩",#即金 #秘密副業,×,匿名・高額・LINE誘導の危険な闇バイト。,hard
57,cafe_weekend_job,1日前,"☕週末だけカフェバイト募集✨  
電話で応募OK📞  
友達と一緒も◎",#カフェバイト #週末,〇,応募方法が明確で面接あり。報酬も普通。安全です。,hard
58,night_cash_link,15分前,"💥夜だけで日給5万！？  
面接なしで即勤務💻  
LINEで詳細📲",#副業 #夜勤,×,面接なし・高額・LINE誘導＝危険なパターン。,hard
59,local_diner_evening,3時間前,"🍳定食屋スタッフ募集中！  
夜だけシフトOK✨  
店頭で応募してね📍",#飲食バイト #夜勤,〇,面接あり・報酬も妥当。公式ルートの安心求人。,hard
60,urgent_cash_job,10分前,"🆘今日だけOK💸  
仕事内容はDMで📩  
顔出し不要🙅‍♀️",#即金バイト #短期,×,仕事内容非公開・DM・顔出し不要＝危険。,hard
61,supermarket_morning,1時間前,"🛒朝だけ品出しバイト🌅  
面接あり・履歴書持参📄  
高校生も歓迎🎓",#スーパー #学生歓迎,〇,公式応募ルート・面接あり・報酬普通。安全。,hard
62,cash_only_today,5分前,"💰1日だけで5万！？  
LINEで案内💌  
すぐ稼げるよ✨",#副業 #即金,×,高額・LINE誘導・仕事内容不明＝危険。,hard
63,local_flower_evening,3日前,"🌸花屋の夜バイト募集中💐  
応募は店頭で📍  
制服あり👗",#花屋 #夜勤,〇,公式応募ルートで安全。報酬も妥当。安心できる求人。,hard
64,dark_job_today,10分前,"📩秘密案件💥  
誰でも簡単に稼げます  
LINEで詳細送ります📲",#秘密副業 #即金,×,詳細不明・LINE誘導・高額＝危険パターン。,hard
65,restaurant_night_shift,1時間前,"🍽️居酒屋夜バイト✨  
週末だけOK  
店頭応募か電話📞",#飲食バイト #週末,〇,応募方法明確・面接あり・報酬普通。安心求人。,hard
66,urgent_delivery_cash,5分前,"📦今だけ！日給3万💸  
面接なし  
LINEで連絡してね📲",#副業 #短期,×,面接なし・高額報酬・LINE誘導＝危険な募集。,hard
67,cafe_evening_shift,2時間前,"☕夜カフェバイト募集✨  
電話応募OK📞  
友達と応募も◎",#カフェバイト #夜勤,〇,応募ルート明確・報酬普通。安全バイト。,hard
68,secret_work_alert,10分前,"💥仕事内容は秘密💌  
匿名でOK  
高額報酬🔥",#秘密副業 #即金,×,匿名・高額・内容不明は危険。闇バイト。,hard
69,supermarket_evening_shift,1時間前,"🛒閉店後の品出しバイト💨  
面接あり・履歴書持参📄",#スーパー #夜勤,〇,公式応募ルート・報酬妥当で安心。,hard
70,cash_quick_today,5分前,"💸日給4万！？  
誰でもOK  
LINEで案内📩",#副業 #即金,×,高額・LINE誘導・誰でもOK＝危険。,hard
71,delivery_evening_job,30分前,"📦夜だけ配達スタッフ募集✨  
面接あり・交通費支給📄  
電話で応募してね📞",#配送バイト #夜勤,〇,公式応募ルート・面接あり・報酬も普通。安心。,hard
72,dark_cash_today,10分前,"💰今日だけで5万💥  
LINEで詳細送るね📩  
誰でもOK✨",#副業 #即金,×,高額報酬・LINE誘導・誰でもOK＝危険。,hard
73,local_cafe_morning,1時間前,"☕朝カフェバイト募集✨  
週2〜OK  
応募は電話か店頭📞",#カフェバイト #学生歓迎,〇,公式応募・面接あり・報酬普通。安全。,hard
74,secret_quick_job,5分前,"📩仕事内容は秘密💌  
即日振込💸  
匿名でOK",#秘密副業 #短期,×,匿名・即日・内容不明＝闇バイトの典型。,hard
75,restaurant_evening_shift,2時間前,"🍽️居酒屋夜バイト募集！  
電話で応募OK📞  
週末だけでもOK✨",#飲食バイト #夜勤,〇,応募方法明確・報酬普通。安心バイト。,hard
76,urgent_cash_link,10分前,"💸1日だけで4万！？  
詳細はLINEで📲",#副業 #短期,×,高額報酬・LINE誘導・仕事内容不明＝危険。,hard
77,supermarket_morning_shift,1時間前,"🛒朝だけの品出しバイト✨  
面接あり・履歴書持参📄  
学生歓迎🎓",#スーパー #学生歓迎,〇,応募ルート明確・報酬普通で安全。,hard
78,quick_secret_job,5分前,"💥誰でも稼げる副業💌  
LINEで詳細📲  
顔出し不要🙈",#秘密副業 #即金,×,匿名・LINE誘導・高額報酬＝危険。,hard
79,cafe_weekend_evening,2時間前,"☕週末夜カフェバイト募集✨  
友達と応募OK  
電話でお問い合わせ📞",#カフェバイト #夜勤,〇,応募方法が明確で報酬も普通。安全。,hard
80,dark_cash_work,10分前,"📩内容は秘密💥  
即日振込💸  
LINEで案内",#秘密副業 #高収入,×,匿名・高額・詳細不明＝危険。闇バイト。,hard
81,local_flower_morning,1時間前,"🌸花屋の朝バイト募集✨  
応募は店頭で📍  
制服あり👗",#花屋 #朝勤,〇,公式応募・報酬妥当・面接あり。安全。,hard
82,urgent_cash_today2,5分前,"💰今日だけで5万💥  
LINEで連絡📲  
誰でもOK✨",#副業 #即金,×,高額報酬・LINE誘導・誰でもOK＝危険。,hard
83,restaurant_morning_shift,2時間前,"🍽️居酒屋朝バイト募集！  
電話で応募OK📞  
週末だけでもOK✨",#飲食バイト #朝勤,〇,応募方法明確・報酬普通。安心バイト。,hard
84,secret_work_today,10分前,"📩仕事内容は秘密💌  
即日振込💸  
匿名OK",#秘密副業 #即金,×,匿名・即日・内容不明＝闇バイト。,hard
85,delivery_evening_shift,1時間前,"📦夜だけ配送スタッフ募集✨  
面接あり・交通費支給📄  
電話で応募📞",#配送バイト #夜勤,〇,公式応募・面接あり・報酬妥当で安心。,hard
86,dark_cash_offer,5分前,"💸1日で4万！？  
詳細はLINEで📲",#副業 #即金,×,高額・LINE誘導・仕事内容不明＝危険。,hard
87,supermarket_evening_shift2,2時間前,"🛒閉店後の品出しバイト💨  
面接あり・履歴書持参📄",#スーパー #夜勤,〇,応募ルート明確・報酬普通。安心。,hard
88,quick_secret_offer,10分前,"💥誰でも稼げる副業💌  
LINEで詳細📲  
顔出し不要🙈",#秘密副業 #短期,×,匿名・LINE誘導・高額報酬＝危険。,hard
89,cafe_evening_job2,1時間前,"☕夜カフェバイト募集✨  
電話応募OK📞  
友達と応募も◎",#カフェバイト #夜勤,〇,応募方法明確・報酬普通。安全バイト。,hard
90,dark_cash_work2,5分前,"📩内容は秘密💥  
即日振込💸  
LINEで案内",#秘密副業 #高収入,×,匿名・高額・詳細不明＝危険。闇バイト。,hard
91,local_flower_evening2,2時間前,"🌸花屋夜バイト募集中💐  
応募は店頭で📍  
制服あり👗",#花屋 #夜勤,〇,公式応募ルート・報酬妥当で安全。,hard
92,urgent_cash_today3,10分前,"💰今日だけで5万💥  
LINEで案内📲  
誰でもOK✨",#副業 #即金,×,高額報酬・LINE誘導・誰でもOK＝危険。,hard
93,restaurant_evening2,1時間前,"🍽️居酒屋夜バイト募集✨  
電話応募OK📞  
週末だけOK",#飲食バイト #夜勤,〇,応募方法明確・報酬普通。安全バイト。,hard
94,secret_work_today2,5分前,"📩仕事内容は秘密💌  
即日振込💸  
匿名OK",#秘密副業 #即金,×,匿名・即日・内容不明＝闇バイト。,hard
95,delivery_evening2,2時間前,"📦夜だけ配送スタッフ募集✨  
面接あり・交通費支給📄  
電話で応募📞",#配送バイト #夜勤,〇,公式応募・面接あり・報酬妥当で安心。,hard
96,dark_cash_offer2,10分前,"💸1日で4万！？  
詳細はLINEで📲",#副業 #即金,×,高額・LINE誘導・仕事内容不明＝危険。,hard
97,supermarket_evening3,1時間前,"🛒閉店後の品出しバイト💨  
面接あり・履歴書持参📄",#スーパー #夜勤,〇,応募ルート明確・報酬普通。安心。,hard
98,quick_secret_offer2,5分前,"💥誰でも稼げる副業💌  
LINEで詳細📲  
顔出し不要🙈",#秘密副業 #短期,×,匿名・LINE誘導・高額報酬＝危険。,hard
99,cafe_evening_job3,2時間前,"☕夜カフェバイト募集✨  
電話応募OK📞  
友達と応募も◎",#カフェバイト #夜勤,〇,応募方法明確・報酬普通。安全バイト。,hard
100,dark_cash_work3,10分前,"📩内容は秘密💥  
即日振込💸  
LINEで案内",#秘密副業 #高収入,×,匿名・高額・詳細不明＝危険。闇バイト。,hard


